EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary $,Monthly Salary $,Bonus %,Bonus Awarded,Bonus Amount $,Total Salary $,Country,City
E02632,ALICE SOTO,ANALYST,ACCOUNTING,CORPORATE,FEMALE,LATINO,56,13/04/1995,50857,4238.083333333333,0,N,0.0,50857.0,BRAZIL,MANAUS
E00105,ISLA ESPINOZA,MANAGER,ACCOUNTING,SPECIALITY PRODUCTS,FEMALE,LATINO,38,16/11/2021,109812,9151.0,9,Y,9883.079999999998,119695.08,BRAZIL,MANAUS
E01409,JOSE MOLINA,CONTROLS ENGINEER,ENGINEERING,MANUFACTURING,MALE,LATINO,40,28/02/2008,113987,9498.916666666666,0,N,0.0,113987.0,BRAZIL,MANAUS
E01271,LUKE MUNOZ,DIRECTOR,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,64,25/08/2017,169509,14125.75,18,Y,30511.62,200020.62,BRAZIL,MANAUS
E02693,GRACE CAMPOS,DIRECTOR,ENGINEERING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,37,21/03/2008,156277,13023.083333333334,22,Y,34380.94,190657.94,BRAZIL,MANAUS
E04683,EZEKIEL DELGADO,DIRECTOR,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,40,07/02/2020,187187,15598.916666666666,18,Y,33693.659999999996,220880.66,BRAZIL,MANAUS
E03404,EVERLEIGH NUNEZ,FIELD ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,42,05/02/2021,65507,5458.916666666667,0,N,0.0,65507.0,BRAZIL,MANAUS
E04926,EMMA LUNA,FIELD ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,52,25/03/2008,97398,8116.5,0,N,0.0,97398.0,BRAZIL,MANAUS
E00402,DOMINIC GUZMAN,ANALYST,FINANCE,MANUFACTURING,MALE,LATINO,65,16/05/2004,55499,4624.916666666667,0,N,0.0,55499.0,BRAZIL,MANAUS
E02895,MILA SOTO,DIRECTOR,FINANCE,RESEARCH & DEVELOPMENT,FEMALE,LATINO,65,07/10/2008,170221,14185.083333333334,15,Y,25533.15,195754.15,BRAZIL,MANAUS
E00518,LYDIA MORALES,MANAGER,FINANCE,SPECIALITY PRODUCTS,FEMALE,LATINO,51,14/06/2013,108221,9018.416666666666,5,Y,5411.05,113632.05,BRAZIL,MANAUS
E04379,SCARLETT RODRIGUEZ,SR. ANALYST,FINANCE,MANUFACTURING,FEMALE,LATINO,60,24/02/2007,71699,5974.916666666667,0,N,0.0,71699.0,BRAZIL,MANAUS
